tilt_bucket,n,exact_acc,tol1_acc,tol5_acc,hour_acc,minute_acc,mae
Front,72,0.1388888888888889,0.4305555555555556,0.5277777777777778,0.6111111111111112,0.18055555555555555,53.013888888888886
10-20,64,0.171875,0.34375,0.484375,0.53125,0.203125,42.59375
20-30,90,0.13333333333333333,0.2222222222222222,0.4111111111111111,0.45555555555555555,0.15555555555555556,59.611111111111114
30-40,55,0.05454545454545454,0.12727272727272726,0.2545454545454545,0.2545454545454545,0.10909090909090909,85.67272727272727
40-50,72,0.013888888888888888,0.041666666666666664,0.19444444444444445,0.2222222222222222,0.027777777777777776,86.83333333333333
50-60,77,0.012987012987012988,0.05194805194805195,0.12987012987012986,0.18181818181818182,0.025974025974025976,112.57142857142857
60-70,70,0.02857142857142857,0.04285714285714286,0.07142857142857142,0.12857142857142856,0.07142857142857142,129.8
