tilt_bucket,n,exact_acc,tol1_acc,tol5_acc,hour_acc,minute_acc,mae
Front,120,0.21666666666666667,0.575,0.7416666666666667,0.7333333333333333,0.23333333333333334,27.45762711864407
10-20,154,0.012987012987012988,0.09090909090909091,0.4805194805194805,0.474025974025974,0.025974025974025976,42.1437908496732
20-30,145,0.0,0.006896551724137931,0.23448275862068965,0.2413793103448276,0.006896551724137931,73.40689655172413
30-40,81,0.0,0.0,0.06172839506172839,0.08641975308641975,0.0,80.06172839506173
