tilt_bucket,n,exact_acc,tol1_acc,tol5_acc,hour_acc,minute_acc,mae
Front,72,0.09722222222222222,0.2916666666666667,0.4861111111111111,0.5416666666666666,0.125,62.72222222222222
10-20,64,0.078125,0.15625,0.3125,0.3125,0.109375,67.44444444444444
20-30,90,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.3111111111111111,0.07777777777777778,77.27777777777777
30-40,55,0.0,0.0,0.10909090909090909,0.18181818181818182,0.0,91.87272727272727
40-50,72,0.0,0.0,0.0,0.027777777777777776,0.013888888888888888,129.27777777777777
50-60,77,0.0,0.0,0.0,0.03896103896103896,0.012987012987012988,121.03896103896103
60-70,70,0.0,0.0,0.0,0.014285714285714285,0.0,148.31428571428572
