tilt_bucket,n,exact_acc,tol1_acc,tol5_acc,hour_acc,minute_acc,mae
Front,120,0.275,0.7166666666666667,0.8666666666666667,0.875,0.3,16.241666666666667
10-20,154,0.17532467532467533,0.45454545454545453,0.7402597402597403,0.7402597402597403,0.17532467532467533,20.435064935064936
20-30,145,0.06896551724137931,0.2206896551724138,0.4827586206896552,0.503448275862069,0.10344827586206896,43.92413793103448
30-40,81,0.0,0.1111111111111111,0.37037037037037035,0.35802469135802467,0.012345679012345678,57.91358024691358
